Planet;D;P;;;;;;;;;;
Mercury;5,79;0,241;;;;;;;;;;
Venus;10,8;0,615;;;;;;;;;;
Earth;15;1;;;;;;;;;;
Mars;22,8;1,88;;;;;;;;;;
Jupiter;77,8;11,9;;;;;;;;;;
Saturn;143;29,5;;;;;;;;;;
Uranus;297;84;;;;;;;;;;
Neptune;450;165;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
